,year,from,to,points,adjusted_points,above_average
0,1957.0,Austria,Netherlands,6.0,5.7,True
1,1957.0,Austria,France,0.0,-0.5,False
2,1957.0,Austria,Denmark,0.0,-1.0,False
3,1957.0,Austria,Luxembourg,3.0,1.3,True
4,1957.0,Austria,Germany,0.0,-0.8,False
5,1957.0,Austria,Italy,0.0,-0.7,False
6,1957.0,Austria,United Kingdom,1.0,0.19999999999999996,True
7,1957.0,Austria,Belgium,0.0,-3.1,False
8,1957.0,Austria,Switzerland,0.0,-0.5,False
9,1957.0,Austria,Austria,0.0,-0.6,False
10,1957.0,Belgium,Netherlands,5.0,4.2,True
11,1957.0,Belgium,France,2.0,1.2,True
12,1957.0,Belgium,Denmark,0.0,-0.3,False
13,1957.0,Belgium,Luxembourg,0.0,-2.7,False
14,1957.0,Belgium,Germany,1.0,0.5,True
15,1957.0,Belgium,Italy,1.0,-0.30000000000000004,False
16,1957.0,Belgium,United Kingdom,1.0,0.9,True
17,1957.0,Belgium,Belgium,0.0,-0.1,False
18,1957.0,Belgium,Switzerland,0.0,-1.0,False
19,1957.0,Belgium,Austria,0.0,-2.4,False
20,1957.0,Denmark,Netherlands,3.0,2.7,True
21,1957.0,Denmark,France,2.0,1.2,True
22,1957.0,Denmark,Denmark,0.0,-1.1,False
23,1957.0,Denmark,Luxembourg,0.0,-1.3,False
24,1957.0,Denmark,Germany,0.0,-0.5,False
25,1957.0,Denmark,Italy,1.0,0.19999999999999996,True
26,1957.0,Denmark,United Kingdom,0.0,-2.0,False
27,1957.0,Denmark,Belgium,2.0,1.6,True
28,1957.0,Denmark,Switzerland,2.0,0.7,True
29,1957.0,Denmark,Austria,0.0,-1.4,False
30,1957.0,France,Netherlands,4.0,3.5,True
31,1957.0,France,France,0.0,-0.75,False
32,1957.0,France,Denmark,0.0,-0.3333333333333333,False
33,1957.0,France,Luxembourg,0.0,-2.25,False
34,1957.0,France,Germany,6.0,5.25,True
35,1957.0,France,Italy,0.0,-0.25,False
36,1957.0,France,United Kingdom,0.0,-0.08333333333333333,False
37,1957.0,France,Belgium,0.0,-0.16666666666666666,False
38,1957.0,France,Switzerland,0.0,-0.9166666666666666,False
39,1957.0,France,Austria,0.0,-0.3333333333333333,False
40,1957.0,Germany,Netherlands,1.0,0.5833333333333333,True
41,1957.0,Germany,France,6.0,4.0,True
42,1957.0,Germany,Denmark,0.0,-0.07142857142857142,False
43,1957.0,Germany,Luxembourg,0.0,-0.07142857142857142,False
44,1957.0,Germany,Germany,0.0,-0.8571428571428571,False
45,1957.0,Germany,Italy,0.0,-0.42857142857142855,False
46,1957.0,Germany,United Kingdom,0.0,-0.7857142857142857,False
47,1957.0,Germany,Belgium,2.0,1.7857142857142858,True
48,1957.0,Germany,Switzerland,1.0,0.2857142857142857,True
49,1957.0,Germany,Austria,0.0,-1.5714285714285714,False
50,1957.0,Italy,Netherlands,1.0,0.7142857142857143,True
51,1957.0,Italy,France,0.0,-0.6428571428571429,False
52,1957.0,Italy,Denmark,3.0,2.5,True
53,1957.0,Italy,Luxembourg,4.0,3.857142857142857,True
54,1957.0,Italy,Germany,1.0,0.0714285714285714,True
55,1957.0,Italy,Italy,0.0,-1.7142857142857142,False
56,1957.0,Italy,United Kingdom,0.0,0.0,False
57,1957.0,Italy,Belgium,0.0,0.0,False
58,1957.0,Italy,Switzerland,1.0,0.8571428571428572,True
59,1957.0,Italy,Austria,0.0,-0.2857142857142857,False
60,1957.0,Luxembourg,Netherlands,3.0,1.4285714285714286,True
61,1957.0,Luxembourg,France,4.0,3.5,True
62,1957.0,Luxembourg,Denmark,0.0,-0.14285714285714285,False
63,1957.0,Luxembourg,Luxembourg,0.0,-0.5714285714285714,False
64,1957.0,Luxembourg,Germany,0.0,0.0,False
65,1957.0,Luxembourg,Italy,1.0,0.8571428571428572,True
66,1957.0,Luxembourg,United Kingdom,1.0,1.0,True
67,1957.0,Luxembourg,Belgium,0.0,-0.2857142857142857,False
68,1957.0,Luxembourg,Switzerland,1.0,0.8571428571428572,True
69,1957.0,Luxembourg,Austria,0.0,-0.5714285714285714,False
70,1957.0,Netherlands,Netherlands,0.0,-1.1428571428571428,False
71,1957.0,Netherlands,France,1.0,0.7142857142857143,True
72,1957.0,Netherlands,Denmark,5.0,2.0,True
73,1957.0,Netherlands,Luxembourg,0.0,0.0,False
74,1957.0,Netherlands,Germany,0.0,-1.2857142857142858,False
75,1957.0,Netherlands,Italy,2.0,1.8571428571428572,True
76,1957.0,Netherlands,United Kingdom,1.0,-1.0,False
77,1957.0,Netherlands,Belgium,0.0,-0.9285714285714286,False
78,1957.0,Netherlands,Switzerland,0.0,0.0,False
79,1957.0,Netherlands,Austria,1.0,1.0,True
80,1957.0,Switzerland,Netherlands,7.0,7.0,True
81,1957.0,Switzerland,France,0.0,0.0,False
82,1957.0,Switzerland,Denmark,0.0,-2.5714285714285716,False
83,1957.0,Switzerland,Luxembourg,0.0,-1.7142857142857142,False
84,1957.0,Switzerland,Germany,0.0,-0.7857142857142857,False
85,1957.0,Switzerland,Italy,0.0,-0.07142857142857142,False
86,1957.0,Switzerland,United Kingdom,2.0,1.7142857142857144,True
87,1957.0,Switzerland,Belgium,1.0,0.3571428571428571,True
88,1957.0,Switzerland,Switzerland,0.0,-0.5714285714285714,False
89,1957.0,Switzerland,Austria,0.0,0.0,False
90,1957.0,United Kingdom,Netherlands,1.0,-1.9285714285714284,False
91,1957.0,United Kingdom,France,2.0,1.0,True
92,1957.0,United Kingdom,Denmark,2.0,1.8571428571428572,True
93,1957.0,United Kingdom,Luxembourg,1.0,0.5714285714285714,True
94,1957.0,United Kingdom,Germany,0.0,0.0,False
95,1957.0,United Kingdom,Italy,2.0,1.9285714285714286,True
96,1957.0,United Kingdom,United Kingdom,0.0,0.0,False
97,1957.0,United Kingdom,Belgium,0.0,-1.2142857142857142,False
98,1957.0,United Kingdom,Switzerland,0.0,-1.0,False
99,1957.0,United Kingdom,Austria,2.0,2.0,True
100,1958.0,Austria,France,7.0,6.375,True
101,1958.0,Austria,Switzerland,0.0,0.0,False
102,1958.0,Austria,Italy,1.0,0.25,True
103,1958.0,Austria,Sweden,1.0,1.0,True
104,1958.0,Austria,Belgium,0.0,-0.5,False
105,1958.0,Austria,Austria,0.0,-0.75,False
106,1958.0,Austria,Germany,1.0,-1.0,False
107,1958.0,Austria,Denmark,0.0,-0.3125,False
108,1958.0,Austria,Netherlands,0.0,-0.0625,False
109,1958.0,Austria,Luxembourg,0.0,0.0,False
