year,to,from,points
1957,Austria,AustriaBelgiumDenmarkFranceGermanyItalyLuxembourgNetherlandsSwitzerlandUnited Kingdom,3
1957,Belgium,AustriaBelgiumDenmarkFranceGermanyItalyLuxembourgNetherlandsSwitzerlandUnited Kingdom,5
1957,Denmark,AustriaBelgiumDenmarkFranceGermanyItalyLuxembourgNetherlandsSwitzerlandUnited Kingdom,10
1957,France,AustriaBelgiumDenmarkFranceGermanyItalyLuxembourgNetherlandsSwitzerlandUnited Kingdom,17
1957,Germany,AustriaBelgiumDenmarkFranceGermanyItalyLuxembourgNetherlandsSwitzerlandUnited Kingdom,8
1957,Italy,AustriaBelgiumDenmarkFranceGermanyItalyLuxembourgNetherlandsSwitzerlandUnited Kingdom,7
1957,Luxembourg,AustriaBelgiumDenmarkFranceGermanyItalyLuxembourgNetherlandsSwitzerlandUnited Kingdom,8
1957,Netherlands,AustriaBelgiumDenmarkFranceGermanyItalyLuxembourgNetherlandsSwitzerlandUnited Kingdom,31
1957,Switzerland,AustriaBelgiumDenmarkFranceGermanyItalyLuxembourgNetherlandsSwitzerlandUnited Kingdom,5
1957,United Kingdom,AustriaBelgiumDenmarkFranceGermanyItalyLuxembourgNetherlandsSwitzerlandUnited Kingdom,6
1958,Austria,AustriaBelgiumDenmarkFranceGermanyItalyLuxembourgNetherlandsSwedenSwitzerland,8
1958,Belgium,AustriaBelgiumDenmarkFranceGermanyItalyLuxembourgNetherlandsSwedenSwitzerland,8
1958,Denmark,AustriaBelgiumDenmarkFranceGermanyItalyLuxembourgNetherlandsSwedenSwitzerland,3
1958,France,AustriaBelgiumDenmarkFranceGermanyItalyLuxembourgNetherlandsSwedenSwitzerland,27
1958,Germany,AustriaBelgiumDenmarkFranceGermanyItalyLuxembourgNetherlandsSwedenSwitzerland,5
1958,Italy,AustriaBelgiumDenmarkFranceGermanyItalyLuxembourgNetherlandsSwedenSwitzerland,13
1958,Luxembourg,AustriaBelgiumDenmarkFranceGermanyItalyLuxembourgNetherlandsSwedenSwitzerland,1
1958,Netherlands,AustriaBelgiumDenmarkFranceGermanyItalyLuxembourgNetherlandsSwedenSwitzerland,1
1958,Sweden,AustriaBelgiumDenmarkFranceGermanyItalyLuxembourgNetherlandsSwedenSwitzerland,10
1958,Switzerland,AustriaBelgiumDenmarkFranceGermanyItalyLuxembourgNetherlandsSwedenSwitzerland,24
1959,Austria,AustriaBelgiumDenmarkFranceGermanyItalyNetherlandsSwedenSwitzerlandUnited Kingdom,3
1959,Belgium,AustriaBelgiumDenmarkFranceGermanyItalyNetherlandsSwedenSwitzerlandUnited Kingdom,8
1959,Denmark,AustriaBelgiumDenmarkFranceGermanyItalyNetherlandsSwedenSwitzerlandUnited Kingdom,11
1959,France,AustriaBelgiumDenmarkFranceGermanyItalyNetherlandsSwedenSwitzerlandUnited Kingdom,13
